id,igdb_id,original_id,name,slug
110636,5457,NULL,"The Third World War",the-third-world-war
110637,50494,NULL,"War of the Lance",war-of-the-lance
110638,25730,NULL,"The War of the Worlds",the-war-of-the-worlds--1
110639,74269,NULL,"Politics and War",politics-and-war
110640,60785,NULL,"Lambda Wars",lambda-wars
110641,66867,NULL,"Pachinko Wars II",pachinko-wars-ii
110642,45232,NULL,"Asterix: The Gallic War",asterix-the-gallic-war
110643,86600,NULL,"Why War?",why-war
110644,77646,NULL,War§ow,warssow
110645,39396,NULL,"Penguin-Kun Wars",penguin-kun-wars
110646,20791,NULL,"SD Gundam: Dimension War",sd-gundam-dimension-war
110647,51780,NULL,"War Wind II: Human Onslaught",war-wind-ii-human-onslaught
110648,82069,NULL,"Rome: Total War - Collection",rome-total-war-collection--1
110649,69928,NULL,"The Operational Art of War III",the-operational-art-of-war-iii
110650,42765,NULL,"Dungeon Maker II: The Hidden War",dungeon-maker-ii-the-hidden-war
110651,171,NULL,"Star Wars: X-Wing Tour of Duty - B-Wing",star-wars-x-wing-tour-of-duty-b-wing
110652,91016,NULL,"God of War Collection: Volume II",god-of-war-collection-volume-ii
110653,5706,NULL,"Star Wars: The Empire Strikes Back",star-wars-the-empire-strikes-back
